;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;AO;AP;AQ;AR;AS;AT;AU;AV;AW;AX;AY;AZ;BA;BB;BC;BD;BE;BF;BG;BH
AA;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;0;1
AB;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
AC;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;1;1;0;0
AD;1;0;1;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
AE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1
AG;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
AH;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
AI;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0
AJ;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;1;1;0;0;0
AK;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1
AL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AM;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AN;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0
AO;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;0
AP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AQ;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
AR;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
AS;1;0;0;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1
AT;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0
AU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AV;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;0;0
AW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AX;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0
AY;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
AZ;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0
BA;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;1;0;0;0
BB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BC;1;0;0;0;0;1;1;0;1;1;0;0;0;1;1;1;1;1;1;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0
BD;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0
BE;1;1;1;1;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
BF;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1
BG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BH;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
